,cluster,Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs)
E01000001,1,9
E01000002,7,10
E01000003,2,5
E01000005,3,3
E01000006,2,5
E01000007,3,3
E01000008,3,2
E01000009,3,3
E01000010,3,3
E01000011,3,3
E01000012,3,2
E01000013,3,2
E01000014,3,2
E01000015,3,2
E01000016,3,3
E01000017,3,2
E01000018,3,2
E01000019,3,2
E01000020,3,2
E01000021,3,2
E01000022,3,2
E01000023,3,2
E01000024,3,3
E01000025,3,2
E01000027,3,2
E01000028,3,2
E01000029,2,4
E01000030,3,2
E01000031,8,4
E01000032,3,3
E01000033,3,2
E01000034,3,2
E01000035,3,4
E01000036,6,5
E01000037,6,5
E01000038,6,5
E01000039,6,4
E01000040,3,2
E01000041,3,3
E01000042,3,2
E01000043,3,3
E01000044,8,3
E01000045,3,2
E01000046,3,3
E01000048,3,1
E01000049,3,2
E01000050,3,2
E01000051,3,2
E01000052,3,2
E01000053,3,2
E01000054,3,3
E01000055,3,3
E01000056,3,2
E01000057,3,3
E01000058,3,3
E01000059,3,3
E01000060,3,2
E01000061,4,1
E01000062,3,3
E01000063,3,2
E01000064,3,2
E01000065,3,2
E01000066,3,4
E01000067,2,5
E01000068,8,4
E01000069,1,6
E01000070,8,5
E01000071,1,5
E01000072,3,2
E01000073,3,2
E01000074,3,2
E01000075,3,2
E01000076,3,2
E01000077,3,2
E01000078,3,2
E01000079,3,2
E01000080,3,3
E01000081,3,3
E01000082,3,3
E01000083,3,2
E01000084,3,2
E01000085,3,2
E01000086,3,2
E01000087,3,2
E01000088,3,3
E01000089,3,3
E01000090,3,3
E01000091,3,2
E01000092,3,2
E01000093,3,1
E01000094,3,3
E01000095,3,3
E01000096,3,2
E01000097,3,2
E01000098,3,2
E01000099,3,3
E01000100,3,3
E01000101,3,2
E01000102,3,2
E01000103,3,3
E01000104,3,2
E01000105,3,1
E01000106,3,2
E01000107,3,3
E01000108,3,3
E01000109,8,4
E01000110,6,5
E01000111,3,3
E01000112,2,4
E01000113,3,4
E01000114,2,4
E01000115,7,9
E01000116,7,9
E01000117,7,8
E01000118,7,8
E01000119,1,7
E01000120,7,10
E01000121,3,2
E01000122,1,8
E01000123,1,8
E01000124,3,4
E01000125,3,3
E01000126,3,2
E01000127,3,3
E01000128,3,3
E01000129,3,3
E01000130,3,3
E01000131,1,5
E01000132,3,4
E01000133,3,3
E01000134,3,4
E01000135,1,7
E01000136,1,8
E01000137,3,3
E01000138,3,3
E01000139,1,7
E01000140,6,6
E01000141,8,3
E01000142,6,6
E01000143,3,3
E01000144,8,5
E01000145,1,6
E01000146,8,5
E01000147,1,7
E01000148,3,3
E01000150,1,6
E01000151,3,2
E01000152,3,3
E01000153,3,2
E01000154,3,3
E01000155,2,5
E01000156,7,9
E01000157,1,7
E01000158,8,5
E01000159,1,6
E01000160,1,7
E01000161,1,6
E01000162,6,5
E01000163,3,3
E01000164,3,4
E01000165,1,7
E01000166,6,6
E01000167,3,3
E01000168,7,9
E01000169,1,7
E01000170,6,5
E01000171,3,4
E01000172,1,9
E01000173,7,8
E01000174,6,6
E01000175,7,9
E01000176,3,3
E01000177,7,9
E01000178,7,9
E01000179,1,9
E01000180,6,6
E01000181,7,9
E01000182,7,9
E01000183,1,8
E01000184,3,3
E01000185,3,4
E01000186,7,10
E01000187,6,7
E01000188,7,9
E01000189,2,4
E01000190,1,8
E01000191,7,9
E01000192,6,6
E01000193,8,6
E01000194,8,5
E01000195,3,3
E01000196,1,7
E01000197,1,7
E01000198,1,7
E01000199,1,9
E01000200,7,8
E01000201,7,9
E01000202,1,9
E01000203,1,6
E01000204,7,8
E01000205,7,9
E01000206,1,8
E01000207,7,9
E01000208,1,9
E01000209,7,9
E01000210,7,9
E01000211,1,6
E01000212,1,8
E01000213,1,9
E01000214,1,8
E01000215,1,7
E01000216,1,8
E01000217,1,8
E01000218,6,6
E01000219,8,5
E01000220,6,6
E01000221,3,1
E01000222,3,3
E01000223,3,2
E01000224,6,5
E01000225,1,8
E01000226,3,3
E01000227,1,8
E01000228,1,7
E01000229,3,4
E01000230,7,9
E01000231,2,6
E01000232,6,6
E01000233,7,8
E01000234,1,8
E01000235,3,4
E01000236,1,8
E01000237,1,8
E01000238,1,6
E01000239,2,4
E01000240,2,5
E01000241,1,8
E01000242,2,5
E01000243,1,7
E01000244,2,6
E01000245,3,4
E01000246,1,8
E01000247,1,8
E01000248,7,9
E01000249,7,10
E01000250,6,7
E01000251,6,5
E01000252,1,7
E01000253,1,8
E01000254,1,9
E01000255,6,5
E01000256,1,8
E01000257,3,4
E01000258,7,8
E01000259,1,7
E01000260,2,5
E01000261,1,9
E01000262,1,7
E01000263,1,10
E01000264,6,6
E01000265,6,6
E01000266,7,9
E01000267,1,7
E01000268,6,6
E01000269,1,8
E01000270,1,7
E01000271,1,9
E01000272,7,10
E01000273,6,7
E01000274,6,6
E01000275,1,7
E01000276,7,10
E01000277,6,5
E01000278,1,10
E01000279,1,8
E01000280,7,10
E01000281,1,8
E01000282,7,9
E01000283,1,10
E01000284,6,6
E01000285,6,6
E01000286,3,4
E01000287,3,4
E01000288,1,7
E01000289,3,2
E01000290,6,5
E01000291,3,3
E01000292,6,7
E01000293,7,9
E01000294,6,7
E01000295,1,7
E01000296,1,7
E01000297,1,8
E01000298,1,7
E01000299,8,6
E01000300,1,7
E01000301,7,9
E01000302,6,6
E01000303,1,9
E01000304,1,7
E01000305,3,3
E01000306,1,7
E01000307,8,4
E01000308,3,3
E01000309,1,7
E01000310,2,5
E01000311,1,8
E01000312,3,4
E01000313,2,5
E01000314,1,8
E01000315,3,3
E01000316,8,5
E01000317,1,8
E01000318,1,6
E01000319,1,8
E01000320,1,8
E01000321,6,6
E01000322,6,6
E01000323,8,5
E01000324,6,7
E01000325,7,10
E01000326,1,7
E01000327,7,9
E01000328,7,7
E01000329,6,6
E01000330,6,5
E01000331,3,3
E01000332,6,6
E01000333,5,4
E01000334,6,7
E01000335,3,3
E01000336,3,3
E01000337,6,5
E01000338,8,5
E01000339,6,6
E01000340,1,7
E01000341,7,8
E01000342,7,8
E01000343,7,9
E01000344,7,9
E01000345,7,9
E01000346,7,8
E01000347,7,8
E01000348,7,10
E01000349,1,9
E01000350,7,9
E01000351,7,9
E01000352,6,6
E01000353,7,10
E01000354,5,5
E01000355,7,9
E01000356,7,9
E01000357,7,10
E01000358,7,9
E01000359,7,9
E01000360,8,5
E01000361,7,8
E01000362,7,7
E01000363,7,8
E01000364,1,7
E01000365,6,6
