lad11nm,lsoa11
City of London,E01000001
City of London,E01000002
City of London,E01000003
City of London,E01000005
City of London,E01032739
City of London,E01032740
Barking and Dagenham,E01000006
Barking and Dagenham,E01000007
Barking and Dagenham,E01000008
Barking and Dagenham,E01000009
Barking and Dagenham,E01000010
Barking and Dagenham,E01000011
Barking and Dagenham,E01000012
Barking and Dagenham,E01000013
Barking and Dagenham,E01000014
Barking and Dagenham,E01000015
Barking and Dagenham,E01000016
Barking and Dagenham,E01000017
Barking and Dagenham,E01000018
Barking and Dagenham,E01000019
Barking and Dagenham,E01000020
Barking and Dagenham,E01000021
Barking and Dagenham,E01000022
Barking and Dagenham,E01000023
Barking and Dagenham,E01000024
Barking and Dagenham,E01000025
Barking and Dagenham,E01000027
Barking and Dagenham,E01000028
Barking and Dagenham,E01000029
Barking and Dagenham,E01000030
Barking and Dagenham,E01000031
Barking and Dagenham,E01000032
Barking and Dagenham,E01000033
Barking and Dagenham,E01000034
Barking and Dagenham,E01000035
Barking and Dagenham,E01000036
Barking and Dagenham,E01000037
Barking and Dagenham,E01000038
Barking and Dagenham,E01000039
Barking and Dagenham,E01000040
Barking and Dagenham,E01000041
Barking and Dagenham,E01000042
Barking and Dagenham,E01000043
Barking and Dagenham,E01000044
Barking and Dagenham,E01000045
Barking and Dagenham,E01000046
Barking and Dagenham,E01000048
Barking and Dagenham,E01000049
Barking and Dagenham,E01000050
Barking and Dagenham,E01000051
Barking and Dagenham,E01000052
Barking and Dagenham,E01000053
Barking and Dagenham,E01000054
Barking and Dagenham,E01000055
Barking and Dagenham,E01000056
Barking and Dagenham,E01000057
Barking and Dagenham,E01000058
Barking and Dagenham,E01000059
Barking and Dagenham,E01000060
Barking and Dagenham,E01000061
Barking and Dagenham,E01000062
Barking and Dagenham,E01000063
Barking and Dagenham,E01000064
Barking and Dagenham,E01000065
Barking and Dagenham,E01000066
Barking and Dagenham,E01000067
Barking and Dagenham,E01000068
Barking and Dagenham,E01000069
Barking and Dagenham,E01000070
Barking and Dagenham,E01000071
Barking and Dagenham,E01000072
Barking and Dagenham,E01000073
