"","x"
"E01000001",1
"E01000002",1
"E01000003",3
"E01000005",4
"E01000006",3
"E01000007",4
"E01000008",4
"E01000009",4
"E01000010",4
"E01000011",4
"E01000012",4
"E01000013",4
"E01000014",4
"E01000015",4
"E01000016",4
"E01000017",4
"E01000018",4
"E01000019",4
"E01000020",4
"E01000021",4
"E01000022",4
"E01000023",4
"E01000024",4
"E01000025",4
"E01000027",4
"E01000028",4
"E01000029",4
"E01000030",4
"E01000031",4
"E01000032",4
"E01000033",4
"E01000034",4
"E01000035",4
"E01000036",2
"E01000037",2
"E01000038",2
"E01000039",4
"E01000040",4
"E01000041",4
"E01000042",4
"E01000043",4
"E01000044",4
"E01000045",4
"E01000046",4
"E01000048",4
"E01000049",4
"E01000050",4
"E01000051",4
"E01000052",4
"E01000053",4
"E01000054",4
"E01000055",4
"E01000056",4
"E01000057",4
"E01000058",4
"E01000059",4
"E01000060",4
"E01000061",4
"E01000062",4
"E01000063",4
"E01000064",4
"E01000065",4
"E01000066",4
"E01000067",4
"E01000068",4
"E01000069",2
"E01000070",4
"E01000071",2
"E01000072",4
"E01000073",4
"E01000074",4
"E01000075",4
"E01000076",4
"E01000077",4
"E01000078",4
"E01000079",4
"E01000080",4
"E01000081",4
"E01000082",4
"E01000083",4
"E01000084",4
"E01000085",4
"E01000086",4
"E01000087",4
"E01000088",4
"E01000089",4
"E01000090",4
"E01000091",4
"E01000092",4
"E01000093",4
"E01000094",4
"E01000095",4
"E01000096",4
"E01000097",4
"E01000098",4
"E01000099",4
"E01000100",4
"E01000101",4
"E01000102",4
"E01000103",4
"E01000104",4
"E01000105",4
"E01000106",4
"E01000107",4
"E01000108",4
"E01000109",4
"E01000110",2
"E01000111",4
"E01000112",4
"E01000113",4
"E01000114",4
"E01000115",1
"E01000116",1
"E01000117",2
"E01000118",2
"E01000119",2
"E01000120",1
"E01000121",4
"E01000122",2
"E01000123",2
"E01000124",4
"E01000125",4
"E01000126",4
"E01000127",4
"E01000128",4
"E01000129",4
"E01000130",4
"E01000131",2
"E01000132",4
"E01000133",4
"E01000134",4
"E01000135",2
"E01000136",2
"E01000137",4
"E01000138",4
"E01000139",2
"E01000140",2
"E01000141",4
"E01000142",2
"E01000143",4
"E01000144",2
"E01000145",2
"E01000146",2
"E01000147",2
"E01000148",4
"E01000150",3
"E01000151",4
"E01000152",4
"E01000153",4
"E01000154",4
"E01000155",3
"E01000156",2
"E01000157",2
"E01000158",5
"E01000159",2
"E01000160",2
"E01000161",2
"E01000162",5
"E01000163",4
"E01000164",4
"E01000165",2
"E01000166",2
"E01000167",4
"E01000168",2
"E01000169",2
"E01000170",5
"E01000171",4
"E01000172",1
"E01000173",2
"E01000174",2
"E01000175",2
"E01000176",4
"E01000177",2
"E01000178",2
"E01000179",2
"E01000180",2
"E01000181",2
"E01000182",2
"E01000183",2
"E01000184",4
"E01000185",4
"E01000186",1
"E01000187",2
"E01000188",2
"E01000189",3
"E01000190",2
"E01000191",1
"E01000192",2
"E01000193",2
"E01000194",2
"E01000195",4
"E01000196",2
"E01000197",2
"E01000198",2
"E01000199",1
"E01000200",2
"E01000201",2
"E01000202",1
"E01000203",2
"E01000204",2
"E01000205",2
"E01000206",2
"E01000207",1
"E01000208",2
"E01000209",2
"E01000210",2
"E01000211",2
"E01000212",2
"E01000213",3
"E01000214",2
"E01000215",2
"E01000216",2
"E01000217",2
"E01000218",2
"E01000219",2
"E01000220",2
"E01000221",4
